feature,coefficient,absolute_coefficient
preferred_sector_ICT,-0.14768709074387593,0.14768709074387593
education_level_code_NQF,0.1387292134490074,0.1387292134490074
preferred_sector_Retail,-0.13648160929574574,0.13648160929574574
field_of_study_Marketing,-0.13174535968755616,0.13174535968755616
ward_number_104,-0.13125123724349158,0.13125123724349158
ward_number_59,-0.12460023649680171,0.12460023649680171
ward_number_126,-0.12118314732424108,0.12118314732424108
ward_number_41,-0.11229867462827713,0.11229867462827713
ward_number_86,-0.11201932266130847,0.11201932266130847
willing_to_relocate_True,-0.10387085077089464,0.10387085077089464
income_band_R3500-R7500,-0.10349594784921694,0.10349594784921694
willing_to_relocate_False,0.10212732928311329,0.10212732928311329
ward_number_83,-0.09921092509504473,0.09921092509504473
field_of_study_Finance,0.0938564039257472,0.0938564039257472
ward_number_65,0.09312687117294205,0.09312687117294205
ward_number_WARD_002,0.08848236705994908,0.08848236705994908
ward_number_94,0.08701808875360834,0.08701808875360834
ward_number_119,0.08434752999153144,0.08434752999153144
ward_number_118,0.08179620936731712,0.08179620936731712
ward_number_88,0.08047142094778463,0.08047142094778463
ward_number_79,0.08002137410961059,0.08002137410961059
ward_number_20,0.07474828101436125,0.07474828101436125
field_of_study_Education,-0.0746698868440756,0.0746698868440756
ward_number_116,0.07231331639642598,0.07231331639642598
ward_number_10,0.0645513047074619,0.0645513047074619
ward_number_23,0.06455130470746188,0.06455130470746188
ward_number_82,0.06377579772387772,0.06377579772387772
township_code_TEMBISA,0.06066960273728685,0.06066960273728685
quality_score,0.05721535126372301,0.05721535126372301
completeness_score,-0.057215351263722965,0.057215351263722965
training_interest_True,-0.05471923265133962,0.05471923265133962
training_interest_False,0.05297571116355921,0.05297571116355921
education_level_code_DIPLOMA,0.05138012327870008,0.05138012327870008
field_of_study_Information Technology,0.05138012327870008,0.05138012327870008
"income_band_R4,000 - R7,000",0.05138012327870008,0.05138012327870008
ward_number_96,0.049339600668147014,0.049339600668147014
ward_number_127,-0.04205224335231664,0.04205224335231664
ward_number_43,0.039502239160888304,0.039502239160888304
ward_number_47,0.03287874996904522,0.03287874996904522
ward_number_50,0.03178707661551357,0.03178707661551357
ward_number_46,0.028255424951449695,0.028255424951449695
ward_number_95,-0.02513621950564993,0.02513621950564993
ward_number_87,-0.021781529340099044,0.021781529340099044
ward_number_8,-0.01969481911499962,0.01969481911499962
ward_number_124,-0.019309241527018878,0.019309241527018878
income_band_<R3500,0.01720556517875262,0.01720556517875262
ward_number_36,-0.016972928903007056,0.016972928903007056
ward_number_77,-0.016860940243838354,0.016860940243838354
ward_number_33,-0.016692564991713583,0.016692564991713583
ward_number_31,-0.015670012030451628,0.015670012030451628
ward_number_93,-0.01447961360361381,0.01447961360361381
digital_literacy_level_Basic,0.013762440471645012,0.013762440471645012
ward_number_42,-0.013022826467214614,0.013022826467214614
ward_number_107,0.012578213822522916,0.012578213822522916
ward_number_38,0.012353659707651395,0.012353659707651395
ward_number_122,0.01190763214860803,0.01190763214860803
ward_number_97,-0.011471818260722862,0.011471818260722862
preferred_sector_Logistics,0.010065491667145302,0.010065491667145302
ward_number_16,-0.007092364826940541,0.007092364826940541
ward_number_101,-0.006846770481565794,0.006846770481565794
ward_number_3,0.0049537095121314,0.0049537095121314
ward_number_WARD_003,0.0036407490258078736,0.0036407490258078736
income_band_No income,-0.0028844518452743554,0.0028844518452743554
south_african_citizen_True,-0.0017435214877818987,0.0017435214877818987
